device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,Image
14502805625,496268877541,"(0.3498191833496094, 0.2851265072822571)","(-82.2517318725586, 218.85047912597656, 72.81806182861328)",1,4.865447998046875,1,"(-21.365835189819336, 5.415014743804932, 685.8790283203125)",1,"(0.36731719970703125, 0.2109566330909729)","(-72.59278869628906, 240.49151611328125, 80.69474792480469)",1,5.203094482421875,1,"(42.603416442871094, 4.665587902069092, 684.8617553710938)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502822739,496268894654,"(0.3296974003314972, 0.24946096539497375)","(-93.35902404785156, 229.25686645507812, 76.60565948486328)",1,4.8268280029296875,1,"(-21.390071868896484, 5.4478373527526855, 685.6321411132812)",1,"(0.35169118642807007, 0.19075298309326172)","(-81.21837615966797, 246.386474609375, 82.8403091430664)",1,5.194549560546875,1,"(42.50992965698242, 4.7037129402160645, 684.6622314453125)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502839539,496268911454,"(0.327644407749176, 0.24641053378582)","(-94.49227905273438, 230.14691162109375, 76.92960357666016)",1,4.823333740234375,1,"(-21.404191970825195, 5.460195064544678, 685.7890625)",1,"(0.3511098027229309, 0.18384882807731628)","(-81.539306640625, 248.4009246826172, 83.57354736328125)",1,5.16168212890625,1,"(42.55787658691406, 4.700104713439941, 684.8298950195312)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502855545,496268927457,"(0.33017635345458984, 0.2475929707288742)","(-93.09464263916016, 229.80189514160156, 76.80406188964844)",1,4.808349609375,1,"(-21.410568237304688, 5.47480583190918, 685.9015502929688)",1,"(0.3502589464187622, 0.18973582983016968)","(-82.00897979736328, 246.68324279785156, 82.94835662841797)",1,5.1290130615234375,1,"(42.60287857055664, 4.718716621398926, 684.9164428710938)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502872705,496268944613,"(0.32874083518981934, 0.2461201548576355)","(-93.88706970214844, 230.23162841796875, 76.9604721069336)",1,4.7703399658203125,1,"(-21.402978897094727, 5.491035461425781, 685.9155883789062)",1,"(0.34640511870384216, 0.1874839812517166)","(-84.13631439208984, 247.3402862548828, 83.18746948242188)",1,5.1163330078125,1,"(42.63279342651367, 4.726963520050049, 684.9305419921875)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502889455,496268961359,"(0.3296937644481659, 0.24637086689472198)","(-93.3610610961914, 230.1584930419922, 76.93385314941406)",1,4.751953125,1,"(-21.398372650146484, 5.520815372467041, 686.1580200195312)",1,"(0.3472016751766205, 0.1907692849636078)","(-83.69661712646484, 246.38169860839844, 82.8386001586914)",1,5.0887908935546875,1,"(42.698143005371094, 4.752200603485107, 685.1896362304688)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502905465,496268977367,"(0.32975080609321594, 0.2378106713294983)","(-93.32955932617188, 232.65615844726562, 77.8428955078125)",1,4.739471435546875,1,"(-21.41919708251953, 5.543429851531982, 687.036865234375)",1,"(0.3486859202384949, 0.18057163059711456)","(-82.8772964477539, 249.35711669921875, 83.92159271240234)",1,5.0653076171875,1,"(42.766822814941406, 4.778351306915283, 686.0260620117188)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502922574,496268994475,"(0.3186607360839844, 0.21868591010570526)","(-99.4513168334961, 238.2362823486328, 79.8739242553711)",1,4.7340850830078125,1,"(-21.4809513092041, 5.594899654388428, 687.7611694335938)",1,"(0.3370499312877655, 0.15721645951271057)","(-89.30040740966797, 256.171630859375, 86.40184020996094)",1,5.0615234375,1,"(42.74358367919922, 4.833488941192627, 686.7492065429688)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502939370,496269011270,"(0.3034549951553345, 0.19762302935123444)","(-107.84493255615234, 244.38194274902344, 82.11077880859375)",1,4.70306396484375,1,"(-21.583072662353516, 5.69495964050293, 688.7190551757812)",1,"(0.3135201334953308, 0.13404719531536102)","(-102.28897094726562, 262.9318542480469, 88.86241149902344)",1,5.025665283203125,1,"(42.68935775756836, 4.928171634674072, 687.7418823242188)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502955261,496269027161,"(0.2985672950744629, 0.19134508073329926)","(-110.54293823242188, 246.2136993408203, 82.7774429321289)",1,4.6988067626953125,1,"(-21.604103088378906, 5.666878700256348, 688.7044677734375)",1,"(0.3123674690723419, 0.13394597172737122)","(-102.92523193359375, 262.9613952636719, 88.87312316894531)",1,5.013336181640625,1,"(42.674652099609375, 4.93773889541626, 687.7398681640625)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
